תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
19-11-2024,Spotify,Entertainment,251.4,
18-11-2024,Delek,Transport,166.21,
09-11-2024,Shufersal,Groceries,147.21,
24-11-2024,Giraffe,Restaurants,399.55,
06-11-2024,Water Bill,Utilities,394.86,
01-11-2024,Benedict,Restaurants,131.4,
13-11-2024,Giraffe,Restaurants,121.07,
15-11-2024,Benedict,Restaurants,594.86,
26-11-2024,Delek,Transport,314.41,
25-11-2024,Playstation,Entertainment,336.05,
17-11-2024,Victory,Groceries,163.76,
04-11-2024,Playstation,Entertainment,211.81,
17-11-2024,Netflix,Entertainment,385.96,
21-11-2024,Ivory,Shopping,213.15,
13-11-2024,Dominos Pizza,Restaurants,571.54,
