תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
03-12-2024,Ivory,Shopping,201.73,
19-12-2024,Dominos Pizza,Restaurants,67.66,
24-12-2024,Water Bill,Utilities,86.19,
10-12-2024,Amazon,Shopping,372.87,
12-12-2024,AliExpress,Shopping,453.29,
08-12-2024,Giraffe,Restaurants,127.91,
26-12-2024,Super Yuda,Groceries,185.22,
16-12-2024,Steam,Entertainment,548.96,
22-12-2024,Paz Fuel,Transport,344.94,
18-12-2024,Victory,Groceries,102.55,
02-12-2024,Amazon,Shopping,452.75,
18-12-2024,Shufersal,Groceries,594.19,
06-12-2024,KSP,Shopping,440.3,
16-12-2024,Benedict,Restaurants,391.14,
21-12-2024,Arcaffe,Restaurants,390.08,
02-12-2024,Mega,Groceries,533.7,
16-12-2024,Cinema City,Entertainment,243.79,
17-12-2024,Giraffe,Restaurants,487.16,
15-12-2024,Arcaffe,Restaurants,554.26,
22-12-2024,Steam,Entertainment,594.69,
10-12-2024,Tiv Taam,Groceries,115.5,
06-12-2024,Mega,Groceries,555.37,
30-12-2024,Delek,Transport,253.88,
26-12-2024,Electric Co,Utilities,469.33,
13-12-2024,Amazon,Shopping,368.38,
