תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
20-01-2024,Playstation,Entertainment,232.46,
29-01-2024,Hot Mobile,Transport,579.05,
09-01-2024,McDonalds,Restaurants,292.47,
08-01-2024,Tiv Taam,Groceries,405.23,
21-01-2024,AM:PM,Groceries,549.57,
20-01-2024,Benedict,Restaurants,432.37,
09-01-2024,Netflix,Entertainment,58.31,
16-01-2024,Giraffe,Restaurants,298.4,
04-01-2024,KSP,Shopping,360.29,
01-01-2024,Cinema City,Entertainment,131.68,
07-01-2024,Tiv Taam,Groceries,58.19,
17-01-2024,AM:PM,Groceries,172.6,
07-01-2024,Wolt,Restaurants,162.01,
07-01-2024,Steam,Entertainment,255.64,
18-01-2024,Netflix,Entertainment,300.69,
08-01-2024,Delek,Transport,126.48,
31-01-2024,Terminal X,Shopping,461.08,
17-01-2024,Cinema City,Entertainment,365.22,
28-01-2024,Mega,Groceries,319.36,
