תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
02-03-2024,Shufersal,Groceries,581.93,
24-03-2024,Shufersal,Groceries,574.42,
25-03-2024,Benedict,Restaurants,264.21,
04-03-2024,H&M,Shopping,282.48,
08-03-2024,H&M,Shopping,68.37,
25-03-2024,Shufersal,Groceries,226.96,
30-03-2024,Playstation,Entertainment,245.91,
06-03-2024,Delek,Transport,478.94,
23-03-2024,H&M,Shopping,417.21,
27-03-2024,Benedict,Restaurants,490.13,
21-03-2024,Lime Scooters,Transport,227.96,
15-03-2024,Rami Levy,Groceries,582.38,
29-03-2024,Ivory,Shopping,437.63,
11-03-2024,Super Yuda,Groceries,283.28,
11-03-2024,Delek,Transport,538.93,
30-03-2024,Pango,Transport,417.62,
19-03-2024,Hot Mobile,Transport,423.09,
21-03-2024,Cinema City,Entertainment,170.82,
19-03-2024,Zara,Shopping,474.29,
30-03-2024,Super Yuda,Groceries,80.46,
