תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
11-05-2024,Ivory,Shopping,416.62,
09-05-2024,Train Israel,Transport,440.32,
06-05-2024,Amazon,Shopping,181.96,
06-05-2024,Tiv Taam,Groceries,155.85,
26-05-2024,Netflix,Entertainment,354.9,
21-05-2024,Zara,Shopping,83.15,
28-05-2024,Playstation,Entertainment,429.46,
25-05-2024,AM:PM,Groceries,549.68,
23-05-2024,McDonalds,Restaurants,519.59,
31-05-2024,Victory,Groceries,505.08,
25-05-2024,Amazon,Shopping,589.45,
19-05-2024,Arcaffe,Restaurants,599.21,
10-05-2024,KSP,Shopping,97.47,
30-05-2024,Shufersal,Groceries,464.12,
26-05-2024,Cinema City,Entertainment,292.25,
18-05-2024,Steam,Entertainment,113.77,
08-05-2024,Moovit,Transport,153.41,
22-05-2024,Golda,Restaurants,233.45,
17-05-2024,Cinema City,Entertainment,336.5,
22-05-2024,Bezeq,Utilities,151.04,
