תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
11-08-2024,Steam,Entertainment,330.67,
21-08-2024,AM:PM,Groceries,257.73,
13-08-2024,Arnona TLV,Utilities,417.38,
22-08-2024,Spotify,Entertainment,409.22,
05-08-2024,Hot Mobile,Transport,509.37,
26-08-2024,Electric Co,Utilities,449.28,
18-08-2024,Shufersal,Groceries,418.71,
06-08-2024,McDonalds,Restaurants,323.81,
27-08-2024,Arnona TLV,Utilities,88.66,
11-08-2024,Netflix,Entertainment,405.31,
18-08-2024,Fox,Shopping,587.85,
27-08-2024,Steam,Entertainment,522.74,
07-08-2024,Super Yuda,Groceries,253.32,
07-08-2024,Electric Co,Utilities,84.64,
