תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
06-02-2025,Rami Levy,Groceries,224.44,
23-02-2025,Delek,Transport,67.94,
03-02-2025,AliExpress,Shopping,280.79,
10-02-2025,Hot Mobile,Transport,104.37,
01-02-2025,Tiv Taam,Groceries,222.44,
26-02-2025,AliExpress,Shopping,207.34,
12-02-2025,McDonalds,Restaurants,274.76,
11-02-2025,Pango,Transport,437.24,
26-02-2025,AM:PM,Groceries,56.25,
02-02-2025,Tiv Taam,Groceries,294.08,
17-02-2025,Mega,Groceries,400.29,
21-02-2025,H&M,Shopping,330.36,
18-02-2025,Fox,Shopping,217.33,
05-02-2025,Electric Co,Utilities,578.63,
27-02-2025,Tiv Taam,Groceries,276.07,
