תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
26-04-2025,Bezeq,Utilities,186.11,
29-04-2025,Wolt,Restaurants,337.64,
25-04-2025,McDonalds,Restaurants,81.91,
15-04-2025,Playstation,Entertainment,559.69,
05-04-2025,Rami Levy,Groceries,93.12,
03-04-2025,Electric Co,Utilities,306.19,
17-04-2025,Lime Scooters,Transport,350.07,
05-04-2025,Water Bill,Utilities,354.57,
30-04-2025,Rami Levy,Groceries,486.67,
26-04-2025,Water Bill,Utilities,488.48,
18-04-2025,H&M,Shopping,333.39,
23-04-2025,Electric Co,Utilities,244.75,
05-04-2025,H&M,Shopping,275.62,
06-04-2025,Wolt,Restaurants,382.62,
05-04-2025,Pango,Transport,236.97,
05-04-2025,Super Pharm,Shopping,91.27,
27-04-2025,Lime Scooters,Transport,457.7,
12-04-2025,Tiv Taam,Groceries,179.76,
03-04-2025,Playstation,Entertainment,372.58,
19-04-2025,Fox,Shopping,202.74,
