תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
12-06-2025,Steam,Entertainment,139.19,
22-06-2025,Electric Co,Utilities,444.95,
28-06-2025,Arcaffe,Restaurants,298.96,
02-06-2025,Arnona TLV,Utilities,186.02,
06-06-2025,H&M,Shopping,581.27,
22-06-2025,Shufersal,Groceries,426.33,
12-06-2025,Paz Fuel,Transport,229.44,
16-06-2025,Tiv Taam,Groceries,551.99,
30-06-2025,Golda,Restaurants,156.44,
02-06-2025,Moovit,Transport,105.96,
07-06-2025,Terminal X,Shopping,551.36,
09-06-2025,Playstation,Entertainment,599.37,
13-06-2025,Spotify,Entertainment,528.43,
09-06-2025,Ivory,Shopping,269.32,
17-06-2025,Fox,Shopping,522.43,
10-06-2025,Bezeq,Utilities,234.4,
07-06-2025,Giraffe,Restaurants,531.23,
11-06-2025,Super Yuda,Groceries,194.63,
13-06-2025,Steam,Entertainment,108.25,
