תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
15-07-2025,Shufersal,Groceries,199.31,
18-07-2025,Giraffe,Restaurants,478.12,
08-07-2025,Electric Co,Utilities,117.76,
29-07-2025,Arnona TLV,Utilities,380.64,
09-07-2025,Cinema City,Entertainment,135.36,
13-07-2025,Terminal X,Shopping,252.19,
03-07-2025,Benedict,Restaurants,197.9,
13-07-2025,AliExpress,Shopping,120.63,
30-07-2025,Playstation,Entertainment,257.14,
08-07-2025,Victory,Groceries,512.91,
30-07-2025,Netflix,Entertainment,353.55,
20-07-2025,Shufersal,Groceries,506.15,
06-07-2025,Arnona TLV,Utilities,544.04,
01-07-2025,Pango,Transport,402.57,
05-07-2025,Netflix,Entertainment,521.49,
14-07-2025,Super Yuda,Groceries,543.42,
04-07-2025,AliExpress,Shopping,223.94,
15-07-2025,Bezeq,Utilities,397.86,
31-07-2025,KSP,Shopping,283.11,
14-07-2025,Wolt,Restaurants,423.42,
27-07-2025,Water Bill,Utilities,211.58,
24-07-2025,Steam,Entertainment,381.97,
26-07-2025,Netflix,Entertainment,552.7,
27-07-2025,McDonalds,Restaurants,592.85,
16-07-2025,Water Bill,Utilities,393.95,
