תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
07-09-2025,Lime Scooters,Transport,239.44,
23-09-2025,Golda,Restaurants,157.37,
18-09-2025,Netflix,Entertainment,554.42,
03-09-2025,Netflix,Entertainment,528.91,
10-09-2025,Train Israel,Transport,557.26,
17-09-2025,Ivory,Shopping,120.93,
13-09-2025,Benedict,Restaurants,490.11,
08-09-2025,Bezeq,Utilities,142.0,
16-09-2025,Arnona TLV,Utilities,311.66,
26-09-2025,Spotify,Entertainment,51.91,
01-09-2025,Paz Fuel,Transport,421.03,
10-09-2025,Arnona TLV,Utilities,245.11,
25-09-2025,Fox,Shopping,568.62,
17-09-2025,McDonalds,Restaurants,520.99,
